"","state","pop","pop.delta","urban","undeveloped","ag","urban.delta","undeveloped.delta","ag.delta","fertilizer","fertilizer.delta","feed","feed.delta"
"30","NM",-0.697732490431532,-0.69028544421622,-0.919841821384284,0.686290097788127,-1.19547940706327,-1.06677747341755,-0.0983036118244918,0.37230479475425,-1.05957426620151,-0.979821845518361,-0.44978932609451,-0.177480631136703
"31","NV",-0.272121622703906,0.812719537067949,-0.30709850575884,5.03350801898765,-1.08817467459124,-0.0303723780654375,-0.665324018196822,0.128262104707144,-1.00626755818523,-1.03214269043727,-0.618159487957583,-0.492655705918211
"32","NY",0.754235580906223,-0.604607036060815,0.059845306845964,-0.30443683687451,-0.246750033021713,-0.219114291625341,0.727148248725242,-0.535384740943764,-0.577909931017476,-0.685835702440423,-0.283139761373458,-0.0683215966548108
"33","OH",0.26963591892187,-0.43662541047034,0.622582105057918,-0.650955088519706,1.22859588076937,0.594916806627735,0.698358718833618,-0.815565989696231,1.11373336418145,0.375990937279816,-0.00953563873203396,0.875053798359609
"34","OK",-0.593680159135712,-0.492971617834913,-0.615668591508101,-0.314367565006301,0.165216567800249,-0.187899163960745,-0.486670575270993,0.664808865923518,-0.610710126438683,-0.562525198823991,-0.143396421344872,0.145026703791542
"35","OR",-0.594478766564238,-0.295211950355206,-0.731096461478155,0.303611957543388,-0.788589742635387,-1.15651057590888,0.215787159939083,0.0347953311895824,-0.574204457902141,-0.649395578111932,-0.538688613410306,-0.278485300035361
"36","PA",0.28728323625659,-0.553211357820488,0.194314559018363,-0.319455831790433,-0.189854725558609,0.0893696927242972,0.337910376984906,-0.517089608635283,-0.442617145051643,-0.296858071283015,0.150990590484354,0.126029510470966
"37","RI",3.01383496383384,-0.220491520173343,3.34988784324294,-0.360748700157377,-1.18014549004209,1.54853639923689,-0.382781266568429,-0.0528370307787154,-0.726714672161546,-1.14582023134397,-0.587703638667825,-0.613737275214954
"38","SC",-0.198832972852737,0.683313714103889,-0.026759462323095,-0.224243768031577,-0.485146364099015,0.688081175552707,0.33938504212445,-0.676278095751328,-0.411054262543343,-0.514186024386532,0.072908936395556,-0.554586090529204
"39","SD",-0.75666390275867,-0.647461524289347,-0.921890371330054,-0.320185114788803,0.941128208451824,-1.13744916716863,-2.31748494444172,2.66472075158118,0.0201892375012944,0.710983630103429,-0.462563749902227,0.378112491891996
"40","TN",-0.796962456607114,-0.720864969403434,-1.08321070394776,-1.02132229334181,-1.33669344899808,-1.52396663033202,0.562921490661026,-0.123274118318822,-1.17021773319785,-1.02590090784502,-0.737516997151626,-0.534017717761337
"41","TX",-0.435616393039545,0.432740510014431,-0.463210812305841,-0.244705250184937,-0.18849481152167,0.564855921734574,-0.473815704838287,0.118851020464193,-0.616976653110688,-0.726790220912276,-0.240314318396954,-0.0684978306149064
"42","UT",-0.412968615015186,0.559487761818643,-0.42358067258364,2.14355853605449,-0.856029500907698,0.0413284624007788,-0.908318302286131,0.17346316536416,-0.994652615504049,-0.747981861237664,-0.290635049592225,-0.107089153403679
"43","VA",0.0278190875908342,0.417584815990584,-0.0347654681745952,-0.23000330129637,-0.219053544441022,0.0334056650054216,0.483611786528171,-0.556272950980623,-0.433521501288167,-0.576542896392706,-0.126989919666704,-0.0903575926599562
"44","VT",-0.529704917043589,-0.745818456057225,-0.405115642617108,-0.107468825833339,-0.62705033828041,-0.729264266433848,0.774073321944456,-0.370473045079581,-0.879850355915084,-0.931746764122175,-0.225351149205542,-0.117003083825919
"45","WA",-0.240756715861104,0.809029310216201,-0.0526259385728385,0.187776354435212,-0.114065051239469,-0.450736057012962,-0.476674416525842,0.761592995835358,0.401926586215471,0.84481652593349,-0.286520395529791,0.188539946121999
"46","WI",-0.37977209522682,-0.521637962181135,-0.241545503439002,-0.385685254437231,0.640963720307077,-0.217935817101505,0.755627486383065,-0.525143897019013,0.349630468768842,0.28176891816679,-0.0750198718917381,1.69839959619112
"47","WV",-0.491132610676486,-0.941654644031818,-0.516598697082453,-0.0539319065744982,-0.848975172739791,-0.646755545501765,0.339598428703223,-0.402031336609829,-1.06488319624774,-0.981199329779005,-0.496109876728934,-0.438341202819831
"48","WY",-0.757651252988874,-0.70495158285283,-0.946662797894614,1.10676287176943,-1.02895398655808,-1.20042866590232,-0.200320192846872,0.37396416283388,-1.08619288402379,-0.910224341545404,-0.642435051256012,-0.322458617507882
