"","nutrient_type","variable","value"
"310","Lake TN","ag",-25.8780526798635
"311","Lake TN","ag",78.296982229827
"312","Lake TN","ag",-1.97847120790082
"313","Lake TN","ag",6.26854229902643
"314","Lake TN","ag",71.3105269315403
"315","Lake TN","ag",128.080531670618
"316","Lake TN","ag",37.9653757090573
"317","Lake TN","ag",-34.1179500524116
"318","Lake TN","ag",114.112724610305
"319","Lake TN","ag",26.4187495066453
"320","Lake TN","ag",50.1989289162834
"321","Lake TN","ag",64.9861420090083
"322","Lake TN","ag",79.9124754809253
"323","Lake TN","ag",0.104512321837528
"324","Lake TN","ag",-84.217793840392
"325","Lake TN","ag",-85.1926049102466
"326","Lake TN","ag",34.6765394856725
"327","Lake TN","ag",81.2141810526438
"328","Lake TN","ag",29.4106659530371
"329","Lake TN","ag",-11.3741957704027
"330","Lake TN","ag",99.4550908409932
"331","Lake TN","ag",161.760009239246
"332","Lake TN","ag",31.7974572840386
"333","Lake TN","ag",41.9456527486614
"334","Lake TN","ag",13.8809767640619
"335","Lake TN","ag",116.315993642813
"336","Lake TN","ag",71.0068513335001
"337","Lake TN","ag",25.3577978386033
"338","Lake TN","ag",-17.4154641173113
"339","Lake TN","ag",44.6425576072201
"340","Lake TN","ag",29.5515749915278
"341","Lake TN","ag",27.2713601659822
"342","Lake TN","ag",-23.8667132901362
"343","Lake TN","ag",0.640666661987154
"344","Lake TN","ag",44.2019302806125
"345","Lake TN","ag",-7.94801598702562
"346","Lake TN","ag",49.774118040959
"347","Lake TN","ag",58.2832713226948
"348","Lake TN","ag",10.6214729561397
"349","Lake TN","ag",28.080401362104
"350","Lake TN","ag",75.8892313202036
"351","Lake TN","ag",119.353800060673
"352","Lake TN","ag",77.3486156529046
"353","Lake TN","ag",-14.9801332872623
"354","Lake TN","ag",16.7075810160934
"355","Lake TN","ag",41.0919875387343
"356","Lake TN","ag",69.3936866437321
"357","Lake TN","ag",-33.6951984987081
"358","Lake TN","ag",7.07642554564381
"359","Lake TN","ag",77.7555482604195
"360","Lake TN","ag",51.2970382482991
"361","Lake TN","ag",-6.04793130219027
"362","Lake TN","ag",69.9112619703525
"363","Lake TN","ag",33.6979819278185
"364","Lake TN","ag",25.6520470748433
"365","Lake TN","ag",104.279321332237
"366","Lake TN","ag",166.785262667566
"367","Lake TN","ag",-54.6301287329482
"368","Lake TN","ag",-30.78204902456
"369","Lake TN","ag",0.019766343750252
"370","Lake TN","ag",15.2494596428237
"371","Lake TN","ag",55.1502436401775
"372","Lake TN","ag",26.3288135833873
"373","Lake TN","ag",19.6789426909351
"374","Lake TN","ag",53.2547907692673
"375","Lake TN","ag",84.771307051462
"376","Lake TN","ag",144.756185664063
"377","Lake TN","ag",23.6499740876871
"378","Lake TN","ag",18.5708957129782
"379","Lake TN","ag",32.6860133125283
"380","Lake TN","ag",106.439689918609
"381","Lake TN","ag",90.0688586237306
"382","Lake TN","ag",2.84506262931231
"383","Lake TN","ag",80.9342836885353
"384","Lake TN","ag",-12.3648296278567
"385","Lake TN","ag",24.3570566745552
"386","Lake TN","ag",-28.060409430177
"387","Lake TN","ag",101.905122350605
"388","Lake TN","ag",-2.20474371254204
"389","Lake TN","ag",40.6985948244195
"390","Lake TN","ag",93.7013032340594
"391","Lake TN","ag",45.7907873191927
"392","Lake TN","ag",70.4799246321192
"393","Lake TN","ag",-5.87187487477735
"394","Lake TN","ag",60.1424495248616
"395","Lake TN","ag",50.4419129664857
"396","Lake TN","ag",45.8754186747874
"397","Lake TN","ag",105.057601096752
"398","Lake TN","ag",-60.0964910756041
"399","Lake TN","ag",51.9988788095521
"400","Lake TN","ag",-8.17459950983456
"401","Lake TN","ag",18.917912899204
"402","Lake TN","ag",38.2835012895498
"403","Lake TN","ag",-25.6726653102347
"404","Lake TN","ag",27.2858128730634
"405","Lake TN","ag",43.7731338570717
"406","Lake TN","ag",-60.974451423833
"407","Lake TN","ag",13.2276740697503
"408","Lake TN","ag",22.7762579929319
"409","Lake TN","ag",65.881782547022
"410","Lake TN","ag",27.5749297982886
"411","Lake TN","ag",74.8857445067586
"412","Lake TN","ag",72.0327565245301
"413","Lake TN","ag",63.4874144993365
"414","Lake TN","ag",56.7724642016308
"415","Lake TN","ag",38.3735390654284
"416","Lake TN","ag",14.0854180263045
"417","Lake TN","ag",26.5184189759305
"418","Lake TN","ag",-44.922202520957
"419","Lake TN","ag",30.7340571440855
"420","Lake TN","ag",89.528995346333
"421","Lake TN","ag",-8.05878980710867
"422","Lake TN","ag",58.8407556009597
"423","Lake TN","ag",96.0778390472379
"424","Lake TN","ag",-4.2213412816252
"425","Lake TN","ag",18.1068008672226
"426","Lake TN","ag",56.3773274133423
"427","Lake TN","ag",97.7015817526086
"428","Lake TN","ag",8.23067485796104
"429","Lake TN","ag",33.0792367536676
"430","Lake TN","ag",62.3607465076502
"431","Lake TN","ag",-16.0322390489942
"432","Lake TN","ag",-9.88699484309902
"433","Lake TN","ag",107.372144993459
"434","Lake TN","ag",41.2468663366996
"435","Lake TN","ag",58.7465588970376
"436","Lake TN","ag",29.2495268439438
"437","Lake TN","ag",20.3023150334938
"438","Lake TN","ag",98.2152255252622
"439","Lake TN","ag",45.689345810893
"440","Lake TN","ag",118.423644244156
"441","Lake TN","ag",-26.5183067014929
"442","Lake TN","ag",22.1421244729876
"443","Lake TN","ag",89.3753282681458
"444","Lake TN","ag",-12.8305332765647
"445","Lake TN","ag",37.9663418009892
"446","Lake TN","ag",44.2360516129039
"447","Lake TN","ag",58.784982303873
"448","Lake TN","ag",81.8856362218389
"449","Lake TN","ag",62.8536176444345
"450","Lake TN","ag",121.437296145798
"451","Lake TN","ag",112.95049186761
"452","Lake TN","ag",17.6731620475411
"453","Lake TN","ag",101.869876296938
"454","Lake TN","ag",-105.857655546567
"455","Lake TN","ag",21.7439066482454
"456","Lake TN","ag",-12.7835660695974
"457","Lake TN","ag",5.70975001897246
"458","Lake TN","ag",75.4657717154809
"459","Lake TN","ag",-13.3563024393443
"460","Lake TN","ag",95.247998116593
"461","Lake TN","ag",36.6729613453323
"462","Lake TN","ag",56.1117063180018
"463","Lake TN","ag",101.042749818288
"464","Lake TN","ag",-16.0026263030293
"465","Lake TN","ag",128.164118935341
"466","Lake TN","ag",13.1260344232956
"467","Lake TN","ag",1.36982791678011
"468","Lake TN","ag",-17.5245690812296
"469","Lake TN","ag",74.0175394443144
"470","Lake TN","ag",61.100052402968
"471","Lake TN","ag",42.2388826322687
"472","Lake TN","ag",4.82828450055265
"473","Lake TN","ag",14.8503388126159
"474","Lake TN","ag",18.1946046301724
"475","Lake TN","ag",129.150387169364
"476","Lake TN","ag",29.0740458940187
"477","Lake TN","ag",-2.34866037962528
"478","Lake TN","ag",39.8717244526698
"479","Lake TN","ag",92.9575609173609
"480","Lake TN","ag",14.5539886862487
"481","Lake TN","ag",28.3376960660382
"482","Lake TN","ag",-12.4651267780433
"483","Lake TN","ag",81.7345728767067
"484","Lake TN","ag",67.8269765799199
"485","Lake TN","ag",46.6235831971776
"486","Lake TN","ag",-9.32680639609482
"487","Lake TN","ag",20.6522308779231
"488","Lake TN","ag",26.0964683145164
"489","Lake TN","ag",-22.9053474059053
"490","Lake TN","ag",69.7411710124569
"491","Lake TN","ag",40.861867005165
"492","Lake TN","ag",-12.9041325267532
"493","Lake TN","ag",101.841140407746
"494","Lake TN","ag",-14.0683164546553
"495","Lake TN","ag",89.7474193109938
"496","Lake TN","ag",-25.2771053056396
"497","Lake TN","ag",-83.6119584600479
"498","Lake TN","ag",69.1218756529017
