"date","state","tn","tn.flag","tn.qa.flag","tp","tp.flag","tp.qa.flag","site.type","lat","lon","siteID","weight"
2007-08-28,"MN",803,NA,NA,13,NA,NA,"PROB_Lake",46.2521236,-96.0363618,"NLA06608-0174",105.454706
2007-08-30,"OH",698,NA,NA,55,NA,NA,"PROB_Lake",39.6810204,-84.68705386,"NLA06608-0175",12.0731447
2007-09-07,"AR",848,NA,NA,207,NA,NA,"PROB_Lake",35.1423948,-90.45779851,"NLA06608-0176",3.8014812
2007-08-22,"VT",177,NA,NA,6,NA,NA,"PROB_Lake",43.8920364,-73.05232335,"NLA06608-0177",86.1935044
2007-06-04,"SD",5181,NA,NA,209,NA,NA,"PROB_Lake",44.3645622,-101.0545158,"NLA06608-0179",20.308032
2007-08-29,"SD",8013,NA,NA,263,NA,NA,"PROB_Lake",44.3645622,-101.0545158,"NLA06608-0179",20.308032
2007-08-29,"OK",721,NA,NA,61,NA,NA,"PROB_Lake",34.5189406,-98.88132868,"NLA06608-0180",3.8002126
2007-09-20,"CA",514,NA,NA,6,NA,NA,"PROB_Lake",37.788611,-119.0740544,"NLA06608-0181",23.0053634
2007-07-25,"WI",907,NA,NA,68,NA,NA,"PROB_Lake",45.3262471,-92.42496232,"NLA06608-0183",7.5279259
2007-06-15,"KS",1049,NA,NA,100,NA,NA,"PROB_Lake",38.8346196,-94.74900513,"NLA06608-0184",31.2940208
2007-08-14,"PA",284,NA,NA,9,NA,NA,"PROB_Lake",41.1113046,-75.45750462,"NLA06608-0185",3.2839429
2007-06-11,"WV",871,NA,NA,77,NA,NA,"PROB_Lake",40.0294239,-80.57939847,"NLA06608-0189",16.3061783
2007-07-10,"WV",648,NA,NA,65,NA,NA,"PROB_Lake",40.0294239,-80.57939847,"NLA06608-0189",16.3061783
2007-08-14,"MN",666,NA,NA,16,NA,NA,"PROB_Lake",47.6725431,-93.75949137,"NLA06608-0190",545.0266745
2007-07-21,"NC",48,NA,NA,1,NA,NA,"PROB_Lake",35.1678348,-83.66709127,"NLA06608-0191",12.7343101
2007-07-11,"WA",71,NA,NA,3,NA,NA,"PROB_Lake",48.7043858,-121.1758404,"NLA06608-0193",7.9382975
2007-06-12,"ND",1955,NA,NA,447,NA,NA,"PROB_Lake",46.8919755,-99.08101063,"NLA06608-0195",679.7800111
2007-06-21,"IL",1250,NA,NA,94,NA,NA,"PROB_Lake",38.7769252,-88.06164584,"NLA06608-0196",18.4678725
2007-07-24,"MA",353,NA,NA,25,NA,NA,"PROB_Lake",41.713076,-70.08954132,"NLA06608-0198",31.5940409
