"","policy","nutreint_type","variable","value"
"261","criteria","Lake TN","new_value",13.763373624186
"262","tmdl","Lake TN","new_value",14.0925744894242
"263","319","Lake TN","new_value",-0.00739428988032956
"264","criteria","Lake TN","new_value",12.5981485439379
"265","tmdl","Lake TN","new_value",6.4325678162715
"266","319","Lake TN","new_value",0.00205181013485114
"267","criteria","Lake TN","new_value",1.69646349535767
"268","tmdl","Lake TN","new_value",3.96932668355005
"269","319","Lake TN","new_value",-0.00170244035624894
"270","criteria","Lake TN","new_value",4.20011740373792
"271","tmdl","Lake TN","new_value",-70.1642560604305
"272","319","Lake TN","new_value",-0.000134805070351887
"273","criteria","Lake TN","new_value",-3.27970663032873
"274","tmdl","Lake TN","new_value",-43.0360687633674
"275","319","Lake TN","new_value",-0.00718007255527584
"276","criteria","Lake TN","new_value",-0.312677838032762
"277","tmdl","Lake TN","new_value",61.7177166216515
"278","319","Lake TN","new_value",-0.00161848446996525
"279","criteria","Lake TN","new_value",-0.0673684797770155
"280","tmdl","Lake TN","new_value",87.7158788909621
"281","319","Lake TN","new_value",0.00886715811483666
"282","criteria","Lake TN","new_value",4.89715157945595
"283","tmdl","Lake TN","new_value",1.95431355384952
"284","319","Lake TN","new_value",0.000219219500838752
"285","criteria","Lake TN","new_value",5.9223304777304
"286","tmdl","Lake TN","new_value",5.26799058576404
"287","319","Lake TN","new_value",0.00618643457850877
"288","criteria","Lake TN","new_value",-3.12973336717586
"289","tmdl","Lake TN","new_value",-38.4616762764739
"290","319","Lake TN","new_value",-0.00082567668396735
"291","criteria","Lake TN","new_value",13.0572641609227
"292","tmdl","Lake TN","new_value",-80.3602431430455
"293","319","Lake TN","new_value",-0.00454899121202224
"294","criteria","Lake TN","new_value",11.6171206721306
"295","tmdl","Lake TN","new_value",-14.9877899160507
"296","319","Lake TN","new_value",-0.00211927969587276
"297","criteria","Lake TN","new_value",-1.02716159695676
"298","tmdl","Lake TN","new_value",-16.5940207051235
"299","319","Lake TN","new_value",-0.00680530599673989
"300","criteria","Lake TN","new_value",-1.96255510014909
"301","tmdl","Lake TN","new_value",22.8077473963227
"302","319","Lake TN","new_value",-0.00250281725894363
"303","criteria","Lake TN","new_value",9.60928972327287
"304","tmdl","Lake TN","new_value",-167.105879904018
"305","319","Lake TN","new_value",0.0103320209229532
"306","criteria","Lake TN","new_value",2.56403285845987
"307","tmdl","Lake TN","new_value",70.7493934805784
"308","319","Lake TN","new_value",0.00412349220752083
"309","criteria","Lake TN","new_value",-10.903692259117
"310","tmdl","Lake TN","new_value",21.7605004819052
"311","319","Lake TN","new_value",0.00118051916618733
"312","criteria","Lake TN","new_value",0.622743960682896
"313","tmdl","Lake TN","new_value",-14.7478940372701
"314","319","Lake TN","new_value",-0.00490882819827518
"315","criteria","Lake TN","new_value",-3.59619836664391
"316","tmdl","Lake TN","new_value",-82.702660292512
"317","319","Lake TN","new_value",-0.0109612801152239
"318","criteria","Lake TN","new_value",11.6192122537277
"319","tmdl","Lake TN","new_value",-52.2783330941303
"320","319","Lake TN","new_value",-0.00220500485290166
"321","criteria","Lake TN","new_value",-1.21284795333263
"322","tmdl","Lake TN","new_value",9.20704925260391
"323","319","Lake TN","new_value",-0.00396275818445771
