"state","site","date","nh4","nh4.flag","no3","no3.flag","tp","tp.flag","tn","tn.flag","site.type","order","weight","lat","lon","nh4_bdl_flag","no3_bdl_flag","tn_bdl_flag","tp_bdl_flag"
"MA","NRS18_MA_10007",2018-07-25,734,"",23.9,"",248.333,"",1893,"","PROB",2,499.4762419,42.14235046,-70.89254964,FALSE,FALSE,FALSE,FALSE
"TX","NRS18_TX_10040",2018-07-25,4,"LEST",270.9,"",5.21,"",374,"","PROB",5,114.5240282,29.65086722,-100.0203813,FALSE,FALSE,FALSE,FALSE
"MS","NRS18_MS_10012",2018-07-25,36,"",5,"",646.831,"HH",1471,"","PROB",2,1057.64367,33.50946525,-90.41456407,FALSE,FALSE,FALSE,FALSE
"CO","NRS18_CO_11278",2018-07-24,11,"",12.3,"",45.676,"",716,"","PROB",6,68.52126026,38.7136427,-109.0093362,FALSE,FALSE,FALSE,FALSE
"AR","NRS18_AR_10002",2018-07-24,10,"",2199.8,"",241.025,"",2756,"","PROB",10,304.5289442,35.62598092,-89.87932864,FALSE,FALSE,FALSE,FALSE
"AR","NRS18_AR_10010",2018-07-24,9,"",2181.6,"",244.469,"",2875,"","PROB",10,304.5289442,35.60183834,-89.9021205,FALSE,FALSE,FALSE,FALSE
"MO","NRS18_MO_10014",2018-07-25,12,"",2082.4,"",253.038,"",2569,"HH","PROB",10,62.29112586,36.45933017,-89.46806283,FALSE,FALSE,FALSE,FALSE
"OK","NRS18_OK_10019",2018-07-25,32,"L",1010,"",2770,"",2033,"Q","PROB",2,167.9234859,33.84391936,-96.29824697,FALSE,FALSE,FALSE,FALSE
"NH","NRS18_NH_10020",2018-07-25,13,"",165,"",6.915,"",356,"","PROB",0,342.1792538,42.9547515,-72.53091136,FALSE,FALSE,FALSE,FALSE
"KY","NRS18_KY_10026",2018-07-25,25,"",402.7,"",163.235,"",900,"","PROB",3,781.7004637,39.03353098,-84.50062278,FALSE,FALSE,FALSE,FALSE
"FL","NRS18_FL_10009",2018-07-25,14,"",0.2,"",127.633,"",1745,"","PROB",4,352.047225,27.4121166,-81.14118759,FALSE,FALSE,FALSE,FALSE
"CO","NRS18_CO_10050",2018-07-25,22,"",187.1,"",279.606,"",1191,"","PROB",4,132.346578,39.63865572,-102.1136539,FALSE,FALSE,FALSE,FALSE
"MO","NRS18_MO_10013",2018-07-26,79,"",115,"",287.81,"",824,"","PROB",3,193.3826434,36.49840597,-90.27924365,FALSE,FALSE,FALSE,FALSE
"NE","NRS18_NE_10037",2018-07-26,38,"",3361.9,"",74.544,"",4144,"","PROB",5,57.86505885,40.33257411,-101.0525616,FALSE,FALSE,FALSE,FALSE
